,Name,Change,Price
0,KBS,0.0,4.440000057220459
1,KTIS,-0.04999971389770508,6.150000095367432
2,MINT,-0.25,32.75
3,ZEN,-0.6999998092651367,12.0
4,ICC,0.0,30.0
5,SAWANG,-0.5,9.5
6,TNL,0.0,15.899999618530273
7,TTI,0.0,20.899999618530273
8,KYE,1.0,379.0
9,ROCK,0.8000001907348633,15.800000190734863
10,TSR,-0.059999942779541016,3.5199999809265137
11,DDD,-0.1999988555908203,18.600000381469727
12,AEC,-0.34999942779541016,8.850000381469727
13,FNS,0.059999942779541016,4.21999979019165
14,THANI,-0.059999942779541016,4.380000114440918
15,TK,0.0,9.75
16,KWG,0.0,1.7699999809265137
17,ACG,-0.16000008583068848,2.619999885559082
18,EASON,-0.0700000524520874,1.6200000047683716
19,GYT,-1.0,237.0
20,SPG,0.0,17.600000381469727
21,ALLA,-0.009999990463256836,1.909999966621399
22,TCJ,0.09999990463256836,4.059999942779541
23,TPCS,0.0,12.699999809265137
24,VARO,0.0,4.960000038146973
25,NFC,-0.039999961853027344,4.039999961853027
26,AJ,-0.20000076293945312,19.799999237060547
27,2S,0.10000038146972656,7.050000190734863
28,CEN,-0.039999961853027344,2.299999952316284
29,CSP,-0.15999984741210938,3.140000104904175
30,SAM,0.039999961853027344,1.3600000143051147
31,SSSC,-0.039999961853027344,2.759999990463257
32,CCP,-0.019999980926513672,0.6200000047683716
33,COTTO,-0.1399998664855957,2.7200000286102295
34,RCI,0.059999942779541016,2.859999895095825
35,UMI,-0.019999980926513672,1.3899999856948853
36,AWC,-0.1400003433227539,4.239999771118164
37,FPT,-0.40000057220458984,11.899999618530273
38,JCK,-0.029999971389770508,1.1299999952316284
39,MJD,0.029999971389770508,1.850000023841858
40,MK,0.040000200271606445,3.1600000858306885
41,PLAT,-0.10000014305114746,3.059999942779541
42,S,-0.06000018119812012,2.0799999237060547
43,SAMCO,0.0,1.6699999570846558
44,SPALI,0.10000038146972656,20.700000762939453
45,PREB,0.05000019073486328,8.600000381469727
46,WGE,-0.09000003337860107,1.9299999475479126
47,ACE,-0.059999942779541016,4.179999828338623
48,BAFS,-0.75,26.5
49,BGRIM,-0.25,45.75
50,GREEN,-0.009999990463256836,1.9199999570846558
51,GULF,-0.5,41.5
52,LANNA,0.0,18.100000381469727
53,RATCH,-0.5,47.0
54,RPC,-0.16999995708465576,1.7000000476837158
55,SKE,0.0,1.0700000524520874
56,SOLAR,0.1399998664855957,2.299999952316284
57,SUPER,-0.009999990463256836,0.9700000286102295
58,CPW,0.019999980926513672,4.0
59,SPC,-0.25,58.5
60,NEW,0.0,50.0
61,AMARIN,0.09999990463256836,6.5
62,SE-ED,-0.059999942779541016,2.180000066757202
63,TH,0.11999988555908203,3.0
64,TKS,-0.5,11.300000190734863
65,WAVE,-0.019999980926513672,0.800000011920929
66,GENCO,-0.019999980926513672,1.1200000047683716
67,PROS,-0.039999961853027344,2.9800000190734863
68,LRH,0.25,33.0
69,OHTL,-3.0,345.0
70,B,0.009999990463256836,1.0099999904632568
71,BA,-0.19999980926513672,11.699999809265137
72,PORT,-0.07999992370605469,2.759999990463257
73,CCET,-0.06000018119812012,2.859999895095825
74,MFEC,-0.15000009536743164,6.849999904632568
75,SVOA,-0.039999961853027344,1.9600000381469727
