,Engulfing,Price
0,EBANK,4.460000038146973
1,ACG,2.8399999141693115
2,BCH,20.299999237060547
3,BGT,1.1399999856948853
4,CSP,1.9900000095367432
5,FTE,1.9500000476837158
6,GLOCON,0.8899999856948853
7,IND,1.8700000047683716
8,LDC,1.2899999618530273
9,MOONG,5.150000095367432
10,PATO,11.399999618530273
11,PDG,3.880000114440918
12,SCM,5.150000095367432
13,SPVI,6.699999809265137
14,STPI,4.679999828338623
15,TC,6.599999904632568
16,TNR,12.100000381469727
17,UAC,4.699999809265137
18,UV,3.6600000858306885
