,MorningStar,Price,Volume
0,OISHI,42.0,14700
1,LHK,3.4200000762939453,1037000
2,GPSC,71.75,7750500
3,IRPC,3.799999952316284,111360700
4,MDX,5.599999904632568,1922900
5,OR,30.5,13936700
6,RATCH,45.0,23875500
7,SCG,4.079999923706055,29500
8,SCI,1.9700000286102295,2422800
9,SGP,11.399999618530273,3792600
10,SOLAR,1.5099999904632568,3136200
11,SPRC,9.850000381469727,21257000
12,SUPER,0.9300000071525574,129518300
13,TAE,2.4600000381469727,754600
14,TPIPP,4.340000152587891,6463300
15,B52,0.6899999976158142,4096400
16,BIG,0.6600000262260437,12515900
17,BJC,34.25,3309700
18,CPALL,60.0,12142300
19,CRC,34.75,11432800
20,DOHOME,25.0,7409500
21,ILM,14.899999618530273,631100
22,KAMART,4.079999923706055,694100
23,MC,9.100000381469727,2084400
24,MIDA,0.6499999761581421,7206900
25,RSP,2.299999952316284,645700
26,SCM,4.860000133514404,1080000
27,SINGER,33.5,2129600
28,PRINC,4.340000152587891,3857200
29,MATCH,1.6399999856948853,29700
30,MONO,1.9199999570846558,12519500
31,PLANB,6.150000095367432,19916400
32,VGI,6.050000190734863,16707500
33,WAVE,0.8799999952316284,12341000
34,WORK,21.299999237060547,2886700
35,ERW,2.819999933242798,33398500
36,SHR,3.319999933242798,9935400
37,ASIMAR,2.700000047683716,1758000
38,BA,9.5,4769400
39,BEM,8.399999618530273,65258400
40,BTS,9.449999809265137,47048100
41,DMT,13.5,2117000
42,III,12.300000190734863,29276300
43,JUTHA,0.9800000190734863,1230000
44,RCL,48.0,34561700
45,TFFIF,8.350000381469727,3036200
46,CCET,3.299999952316284,11978900
47,TEAM,2.7200000286102295,2301200
48,AIT,21.600000381469727,93700
49,DTAC,30.5,3789300
50,HUMAN,9.100000381469727,199000
51,JAS,2.7799999713897705,26013600
52,JASIF,9.75,4699800
53,JMART,33.75,5281800
54,SAMTEL,6.5,269700
55,TRUE,3.2200000286102295,41908400
